Subject,会社名,所在地,都道府県,業種・事業内容,従業員数,車両台数,IT未導入スコア,誤配送リスクスコア,IT未導入の証拠・根拠,誤配送・取り間違いの証拠・根拠,情報ソースURL,公式サイト,備考,Error
大阪府の一般貨物運送会社（中小規模）でIT化が遅れている企業。検索キーワード：「大阪 一般貨物 運送会社 手書き 伝票 求人」「大阪 運送会社 FAX 配車 アナログ」「大阪 中小 トラック 運送 IT未導入」,藤原運輸株式会社,大阪府大阪市西区本田4-7-18,大阪府,港湾運送業、自動車運送事業、倉庫業、通関業、船舶代理店業、輸出入業務、工場内における貨物の運搬業・梱包作業および各事業に関連する業務,773名,不明,4,1,物流業界特有の紙文化が根強く、請求書や経理伝票、経費精算の処理が紙ベースで行われており、業務効率化が必要だった,特になし,https://biz.moneyforward.com/case/12260/,https://fujiwaraunyu.com/,マネーフォワード クラウドインボイス導入前の課題として、紙文化が根強く残っていたことが挙げられている。,
兵庫県（神戸・姫路・尼崎・西宮等）の運送・配送会社でIT化が遅れている企業。検索キーワード：「兵庫 神戸 運送会社 手書き 伝票」「姫路 尼崎 配送業 アナログ管理」「兵庫 中小 物流会社 IT未導入」,アサヒロジ株式会社 明石支店,兵庫県明石市二見町南二見1-33,兵庫県,食品物流,"約2,000名（アサヒロジ株式会社全体）",不明,5,3,フォークリフトマンが回収した書類は事務所へ送られ、手作業で受付簿と照合して待機時間を割り出していました。明石工場は倉庫が5つあり、積荷の内容によっては1台のトラックが複数セットの伝票・作業指示書を持って複数の倉庫を回るため、各倉庫で回収された書類をトラック別に分別・照合するのがかなりの負担でした。,時刻の書き忘れ・書き間違いがあったり、正確さが担保できなかったりという問題もありました。,https://www.hacobell.com/case_studies/pu1o5tlyoat,https://www.alogi.co.jp/,アサヒ飲料株式会社明石工場内の物流業務を担う。2024年12月に「トラック簿」を導入し、IT化を推進。,
京都府・滋賀県の運送・配送会社でIT化が遅れている企業。検索キーワード：「京都 運送会社 中小 アナログ」「滋賀 配送業 IT未導入 課題」「京都 滋賀 物流 手書き 伝票」,株式会社近藤製麺工場,京都府京都市南区上鳥羽苗代町,京都府,製麺業、中華めん卸、麺のルート配送,不明,不明,5,1,求人情報に「手書き伝票や発注書の記入があるため 日本語能力必須（N1相当）」と明記されています。また、公式サイトにはFAX番号の記載があり、現金以外の支払い方法がないこともIT化の遅れを示唆しています。,公式サイトおよび求人情報からは、誤配送・取り間違いに関する具体的な記述は見つかりませんでした。,https://www.hatalike.jp/viewjob/e074e11ad4b7e75d/ および https://www.kondoseimen.com/,https://www.kondoseimen.com/,はたらいくの求人情報と公式サイトから情報を収集しました。求人情報には手書き伝票の存在が明記されており、公式サイトにはFAX番号や現金払いのみの記載があるため、IT化の遅れが確認できます。誤配送に関する情報は確認できませんでした。,
奈良県・和歌山県の運送・配送会社でIT化が遅れている企業。検索キーワード：「奈良 運送会社 中小 アナログ」「和歌山 配送業 IT未導入」「奈良 和歌山 物流 手書き」,株式会社オヅロジ,奈良県橿原市雲梯町104-1,奈良県,一般貨物自動車運送、トラック輸送,40名,不明,4,1,Indeedの求人情報にて、「非効率なアナログ業務（紙の不在票、手動でのルート作成など）に時間を取られるという構造的な課題」を解決し、DXを推進しているという記述があり、以前はアナログ業務が中心であったことが示唆される。,見つからなかった,https://jp.indeed.com/q-%E5%A5%88%E8%89%AF-%E9%81%8B%E9%80%81%E4%BC%9A%E7%A4%BE-%E3%82%A2%E3%83%8A%E3%83%AD%E3%82%B0-%E6%B1%82%E4%BA%BA.html?vjk=331d31ecbfdb2077,https://odulogi.biz/,なし,
大阪・関西のAmazonデリバリープロバイダや宅配代行会社で誤配送・取り間違いの問題が報告されている企業。検索キーワード：「関西 Amazonデリバリープロバイダ 誤配送 口コミ」「大阪 宅配 取り間違い トラブル」「関西 配送代行 誤配送 評判」,株式会社T.M.G,大阪府茨木市目垣１丁目２３番１５号,大阪府,第一種利用運送事業、貨物軽自動車運送事業、アウトソーシング事業、一般配送事業、小口配送事業、流通・物流スタッフ事業、ロジスティクス事業、コンサルティング事業,230名,"2,200台（グループ登録台数）",1,5,公式サイトの料金プランページに「配送状況管理システムにより、ドライバー毎の配送状況（持出個数・配完個数・不在個数・未配達個数など）が簡単に確認することが出来ます。また、時間毎の配送状況もひと目でタイムリーにご確認いただけます。TMGが長年の経験で開発した最新のシステムにて大手運送会社と同等の荷物管理が可能となり、高品質の配送を提供できます。」とあり、独自の配送管理システムを導入していることが示唆されています。求人情報からは「手書き」「FAX」といったアナログな業務を示す直接的な記述は見つかりませんでした。,Amazonセラーフォーラムの議論より、「不在票がない」「ポストに思い切り詰め込む（受け取りサイン必要なのに・・・）」「配達時間指定が適当」といった報告があります。また、「配完をあげておきながら、商品を紛失したと1週間後くらいにAmazonから連絡がきました。」「DVD（トールケース）4枚で一梱包です。何でポスト投函が可能なんでしょうか？」「TMG様より、恐れながら詳細確認が困難である旨のご返答をいただきました。」といった具体的なトラブル報告が複数見られます。,https://tmg-group.co.jp/company/,https://tmg-group.co.jp/,Amazonデリバリープロバイダとして、Amazonの配送業務を多く請け負っていることが示唆されています。,
関西の食品・生鮮品・冷凍品配送専門会社でIT化が遅れており誤配送課題がある企業。検索キーワード：「大阪 食品配送 中小 アナログ 誤配送」「関西 生鮮品 配送 IT未導入」「大阪 冷凍食品 配送会社 手書き 伝票」,株式会社池田商店,大阪府大阪市西成区北津守4-4-66,大阪府,食肉の加工・販売（学校・病院等への食品卸）,不明,不明,5,5,"「最も改善しなければならなかったのは、目視検品による誤出荷対策と賞味期限管理でした。」、「賞味期限管理も、原則は担当者による「目視」です。一品一品「目視」するため、効率が悪いうえ、ルールを決めていてもヒューマンエラーは避けられず、期限切れで廃棄処分となる商品が相当数ありました。」、「それまでアナログ管理だったので、ある程度覚悟をして作業に取り組みましたが、総数38,000にも及ぶSKUを一つ一つ確認しながら、計量商品はピッキングリストに表示するためのグラム数も同時に設定するなど細かな作業になり、想像以上に大変でした。」、「作業の標準化により属人化が完全に解消され」",「かつて月間25～30件あった誤出荷は、毎月減少してほぼ改善され、「誤出荷をゼロに！」という意欲が、現場から出ています。」、「特に食物アレルギーにかかわる食品は、間違って配送されれば命の危険にもつながるため、現場担当者の確認作業は責任重大です。」,https://www.logizard-zero.com/cases/ikeda-shoten.html,http://ikeda-syouten.com/,WMS導入前の課題としてIT化の遅れと誤出荷が明確に記述されている。,
IT導入事例サイト（アセンド/ロジックス、神戸DXお助け隊、中小企業庁デジタル化応援隊等）に掲載されている関西の運送会社の導入前課題。検索キーワード：「関西 大阪 運送会社 ロジックス 導入事例」「神戸DXお助け隊 運送 物流」「大阪 兵庫 運送会社 IT導入 課題 事例」,株式会社朋友,大阪府堺市中区平井848,大阪府,一般貨物自動車運送、物流倉庫の人材派遣,約120名,約150台,5,1,労基署からの是正勧告をきっかけに労務管理意識を高めたが、管理の手間がかさんでいる。労務管理において、パソコンが得意な社員と、そうではない社員の間で業務処理の方法の違いが生じている。「書いては消す」A3用紙の限界。これまでは、昔ながらの管理法で、逐一計算していた。デジタコのデータをエクセルに手打ちで転記をする作業が約 100名分あり、毎日3時間ほどかかっていた。,誤配送・取り間違いに関する具体的なトラブル報告は見つからなかった。,https://logix.ascendlogi.co.jp/case/foryou,https://foryou1992.co.jp/,ロジックス導入により、半日がかりの労務集計作業が10分に短縮された。,
エン転職・転職会議・OpenWorkの口コミで「アナログ」「紙管理」「FAX」などIT未導入を示す記述がある関西の運送会社。検索キーワード：「大阪 運送会社 口コミ アナログ 紙管理」「関西 物流会社 転職会議 IT化遅れ」「兵庫 京都 運送 OpenWork 評判 FAX」,株式会社南海エクスプレス,大阪府大阪市浪速区難波中1丁目10-4,大阪府,航空貨物、海上貨物、通関業、ロジスティックス業,191名,不明,4,4,「顧客企業から寄せられる配送依頼に対して、物流システムの担当者が手動で引当処理を実施していた。」(Calsoft導入事例)、「お世辞にも人気とは言えない業界にあって、リソースの効率的な運用戦略はマネジメントの責...」(OpenWork口コミ),「その状況下だったからかミスが立て続けに起き、一時社内で問題とされました。」(就活会議口コミ),"https://www.calsoft.com/ja/%E5%B0%8E%E5%85%A5%E4%BA%8B%E4%BE%8B/%E5%B0%8E%E2%BC%8A%E4%BA%8B%E4%BE%8B%EF%BC%9A%E5%8D%97%E6%B5%B7%E3%82%A8%E3%82%AF%E3%82%B9%E3%83%97%E3%83%AC%E3%82%B9-%E7%A4%BE%E3%81%AEcargowise%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0/, https://www.openwork.jp/company_answer.php?m_id=a0C30000002h7nI&q_no=9, https://syukatsu-kaigi.jp/companies/33591/word_mouths, https://www.nankai.co.jp/sites/default/files/imce/pdf/library/company/handbook/pdf2021/pdf/handbook2021.pdf",https://www.nankai-express.co.jp/,OpenWorkの口コミではIT化の遅れを示唆する記述があり、Calsoftの導入事例では手動処理の具体例が挙げられている。就活会議の口コミでは具体的なミス報告がある。,
ハローワーク求人・求人サイトで「手書き」「FAX」「紙伝票」などの記述がある関西の運送・配送会社。検索キーワード：「大阪 運送 配送 求人 手書き 伝票 ハローワーク」「関西 ドライバー 求人 FAX 配車」「兵庫 京都 運送会社 求人 アナログ」,フジトランスポート株式会社,奈良県奈良市北之庄町723-13,奈良県,一般貨物自動車運送、総合物流サービス,"3,043人（単体） 3,739人（グループ）","2,780台（単体） 3,430台（グループ）",3,3,「電話、FAX、配車システムを使用し、トラック空車情報、お客様の荷物情報をマッチングさせるお仕事です。」（リンクネットワーク株式会社 関西配車センターの求人情報より）,「このたび、当社が受託いたしましたダイレクトメール（以下、DM）の発送代行業務におきまして、宛名データの不備により、誤送付が発生いたしました。」（株式会社フジプラスのニュースリリースより）,https://fujitransport-recruit.net/jobfind-pc/job/All/7062,https://www.fujitransport.com/,株式会社フジプラスはフジトランスポート株式会社のグループ会社。DM誤送付は運送業務における誤配送ではないが、情報管理体制の甘さを示唆する。,
国土交通省・全日本トラック協会・近畿トラック協会の資料に掲載されているIT化が遅れている関西の運送会社事例。検索キーワード：「近畿トラック協会 IT化 中小運送会社 課題」「国土交通省 関西 物流 デジタル化 事例」「大阪 兵庫 運送業 2024年問題 アナログ 対応遅れ」,新栄運輸株式会社,大阪府大阪市野田駅周辺,大阪府,生鮮食品等の運送,不明,不明,5,1,夜間に全国から届く生鮮食品等の送り状作成と伝票整理を手書きで行う事務作業です。,情報が見つからなかった,https://xn--pckua2a7gp15o89zb.com/%E4%BC%9D%E7%A5%A8%E6%95%B4%E7%90%86-%E3%83%90%E3%82%A4%E3%83%88%E3%81%AE%E4%BB%95%E4%BA%8B,不明,求人情報からIT未導入の証拠が見つかりました。誤配送に関する情報は今回の調査では見つかりませんでした。,
